iter	Passed	Remaining
425	1815	4577
426	1818	4570
427	1821	4563
428	1829	4566
429	1834	4565
430	1838	4560
431	1843	4558
432	1849	4558
433	1854	4554
434	1863	4561
435	1867	4556
436	1870	4551
437	1875	4547
438	1878	4540
439	1882	4534
440	1884	4526
441	1889	4521
442	1892	4514
443	1894	4506
444	1898	4500
445	1901	4493
446	1904	4487
447	1908	4481
448	1911	4475
449	1915	4469
450	1918	4462
451	1922	4456
452	1925	4450
453	1928	4444
454	1932	4438
455	1935	4432
456	1939	4426
457	1942	4420
458	1945	4413
459	1949	4407
460	1952	4401
461	1956	4395
462	1959	4388
463	1962	4382
464	1966	4376
465	1969	4370
466	1973	4364
467	1976	4358
468	1980	4352
469	1983	4347
470	1988	4344
471	1992	4340
472	1996	4334
473	2000	4329
474	2005	4326
475	2008	4320
476	2011	4314
477	2015	4309
478	2018	4302
479	2022	4297
480	2027	4295
481	2032	4293
482	2037	4290
483	2042	4287
484	2047	4284
485	2052	4282
486	2057	4279
487	2062	4277
488	2068	4276
489	2072	4272
490	2076	4266
491	2080	4263
492	2085	4259
493	2087	4251
494	2090	4244
495	2092	4236
496	2096	4230
497	2099	4224
498	2102	4217
499	2105	4211
500	2109	4205
501	2112	4200
502	2115	4192
503	2117	4185
504	2121	4179
505	2125	4174
506	2128	4169
507	2132	4163
508	2135	4157
509	2138	4151
510	2141	4144
511	2145	4139
512	2148	4134
513	2151	4126
514	2154	4121
515	2157	4115
516	2161	4109
517	2164	4103
518	2167	4097
519	2170	4091
520	2174	4085
521	2177	4079
522	2181	4074
523	2184	4068
524	2186	4061
525	2190	4055
526	2193	4049
527	2196	4042
528	2199	4037
529	2202	4030
530	2205	4024
531	2209	4020
532	2212	4014
533	2217	4011
534	2222	4008
535	2227	4006
536	2231	4001
537	2235	3998
538	2240	3994
539	2244	3990
540	2249	3986
541	2253	3983
542	2262	3986
543	2265	3981
544	2270	3979
545	2275	3976
546	2279	3971
547	2282	3965
548	2286	3961
549	2291	3958
550	2294	3952
551	2298	3946
552	2301	3941
553	2305	3936
554	2308	3930
555	2312	3926
556	2315	3919
557	2318	3914
558	2322	3908
559	2324	3902
560	2327	3896
561	2330	3889
562	2333	3884
563	2336	3878
564	2340	3872
565	2343	3867
566	2346	3861
567	2350	3856
568	2353	3851
569	2356	3844
570	2359	3839
571	2362	3833
572	2365	3826
573	2368	3820
574	2371	3815
575	2375	3810
576	2378	3805
577	2382	3799
578	2385	3794
579	2388	3788
580	2390	3781
581	2393	3776
582	2396	3769
583	2399	3763
584	2402	3758
585	2406	3754
586	2411	3750
587	2417	3749
588	2422	3746
589	2427	3743
590	2432	3740
591	2436	3737
592	2441	3734
593	2445	3729
594	2450	3726
595	2457	3728
596	2462	3724
597	2467	3721
598	2470	3715
599	2473	3710
600	2477	3705
601	2480	3700
