wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price,distance,azimuth
panel,1,10.0,39.0,10.0,55.775834,37.644171,10900000,3184.0,34.0
brick,3,7.0,39.1,5.1,55.737096,37.677607,9350000,4242.0,113.0
block,1,9.0,38.0,6.0,55.732286,37.672154,8100000,4187.0,122.0
block,9,16.0,38.0,9.8,55.790651,37.640093,8900000,4549.0,20.0
monolith,14,17.0,38.0,8.0,55.741166,37.682269,9900000,4363.0,106.0
block,1,12.0,38.1,6.5,55.790514,37.632278,9250000,4392.0,14.0
panel,7,9.0,38.0,8.0,55.791876,37.624418,9350000,4452.0,7.0
block,10,12.0,38.8,6.0,55.763417,37.54702800000001,9950000,4483.0,286.0
brick,5,7.0,39.4,5.3,55.768071,37.669306,10200000,3807.0,62.0
panel,9,17.0,38.7,7.3,55.743988,37.686545,11000000,4548.0,102.0
block,8,14.0,39.0,6.0,55.722614,37.609236,12600000,3318.0,187.0
block,12,12.0,39.2,4.1,55.770547,37.572136,13350000,3408.0,307.0
monolith,4,7.0,39.0,10.0,55.730948,37.64401,21800000,2964.0,143.0
panel,8,12.0,38.0,10.0,55.773363,37.709021,8600000,6320.0,68.0
panel,17,17.0,38.0,7.1,55.74108,37.683877,8700000,4463.0,106.0
brick,5,12.0,38.0,10.0,55.775636,37.684587,10799000,5056.0,59.0
brick,2,14.0,38.0,8.6,55.73741,37.631757,13600000,1934.0,148.0
brick,8,9.0,38.0,7.0,55.731774,37.611455,13700000,2289.0,187.0
brick,3,8.0,42.7,5.0,55.773626,37.582071,12700000,3181.0,319.0
monolith,5,14.0,40.14,10.0,55.77123100000001,37.642707,15052500,2718.0,39.0
monolith,11,13.0,40.0,6.0,55.766116,37.567051,19990000,3419.0,297.0
monolith,11,13.0,40.0,23.0,55.766116,37.567051,19990000,3419.0,297.0
block,1,5.0,42.3,6.0,55.78625200000001,37.590138,10600000,4114.0,337.0
panel,5,12.0,40.0,7.0,55.77715500000001,37.706919,8100000,6370.0,64.0
block,3,12.0,40.0,7.0,55.768061,37.678514,10000000,4326.0,66.0
brick,2,5.0,41.5,7.2,55.756715,37.553055,10000000,3959.0,277.0
brick,3,5.0,41.0,6.0,55.761943,37.56485900000001,10850000,3365.0,289.0
brick,9,14.0,42.0,8.3,55.778325,37.638647,12000000,3249.0,26.0
brick,4,5.0,42.6,5.8,55.731495,37.563934,12000000,3981.0,235.0
brick,1,3.0,42.0,5.0,55.771899,37.624094,12500000,2257.0,14.0
block,1,9.0,40.1,7.0,55.726092,37.568614,12999990,4142.0,225.0
brick,6,13.0,40.0,8.7,55.73741,37.631757,13400000,1934.0,148.0
brick,3,5.0,40.4,5.8,55.752308,37.642905,14900000,1715.0,90.0
brick,2,9.0,42.5,8.0,55.727516,37.632457,15750000,2945.0,159.0
brick,7,8.0,42.4,5.4,55.722745,37.580786,15900000,3942.0,214.0
monolith,5,12.0,40.0,10.0,55.766111,37.567869,17900000,3373.0,297.0
brick,5,8.0,40.0,9.0,55.74587800000001,37.601007,26483149,1156.0,232.0
brick,5,9.0,42.0,5.5,55.773768,37.68791,10500000,5135.0,62.0
block,8,12.0,40.0,7.0,55.757197,37.559775,11000000,3549.0,279.0
monolith,5,14.0,42.0,7.0,55.722614,37.609236,11100000,3318.0,187.0
brick,7,9.0,42.1,6.0,55.732666,37.56547,12500000,3827.0,235.0
brick,10,12.0,41.0,8.0,55.783235,37.588476,13000000,3852.0,334.0
brick,1,5.0,44.0,6.0,55.762936,37.57112,10300000,3038.0,293.0
monolith,6,6.0,44.0,8.0,55.72173100000001,37.572899,21000000,4325.0,218.0
panel,6,12.0,44.4,8.0,55.77088199999999,37.571031,12400000,3486.0,307.0
brick,2,5.0,44.0,6.0,55.75937,37.538431,10699999,4910.0,279.0
panel,6,12.0,44.0,6.0,55.77088199999999,37.571031,12400000,3486.0,307.0
brick,8,9.0,43.0,6.0,55.76496700000001,37.56547,13900000,3453.0,294.0
stalin,5,5.0,44.9,8.0,55.75704,37.657071,16500000,2659.0,78.0
brick,4,5.0,43.1,5.0,55.76096999999999,37.571597,10500000,2930.0,290.0
monolith,7,14.0,44.8,6.0,55.722274,37.609757,11450000,3352.0,186.0
panel,6,12.0,44.4,7.0,55.77088199999999,37.571031,12400000,3486.0,307.0
block,6,12.0,44.4,7.0,55.77088199999999,37.571031,12500000,3486.0,307.0
panel,3,9.0,44.7,6.0,55.726239,37.636554,13200000,3176.0,156.0
monolith,3,44.0,46.0,16.5,55.77080600000001,37.564212,13950000,3834.0,303.0
panel,8,12.0,45.0,6.3,55.734126,37.671705,10990000,4058.0,120.0
brick,2,9.0,47.0,12.0,55.770076,37.57298,13000000,3335.0,307.0
brick,6,8.0,45.0,6.0,55.78651,37.59348,13250000,4064.0,340.0
monolith,7,18.0,45.3,10.0,55.77120600000001,37.658212,16600000,3411.0,52.0
monolith,3,13.0,45.0,14.0,55.760915,37.55020800000001,19250000,4219.0,283.0
brick,3,8.0,45.0,7.0,55.753134,37.521309,9000000,5922.0,271.0
panel,3,12.0,45.0,6.3,55.734846,37.679278,11000000,4442.0,116.0
brick,2,6.0,45.2,10.0,55.77629399999999,37.672163,13989000,4450.0,53.0
brick,4,8.0,46.0,8.0,55.772639,37.585754,14800000,2948.0,321.0
monolith,13,16.0,47.3,20.0,55.77120600000001,37.658212,16950000,3411.0,52.0
monolith,7,18.0,45.3,10.0,55.77120600000001,37.658212,17500000,3411.0,52.0
brick,3,6.0,46.0,9.0,55.754937,37.593686,18900000,1409.0,283.0
brick,2,6.0,46.9,9.3,55.76191800000001,37.649624,18900000,2395.0,63.0
brick,6,9.0,45.0,9.0,55.775115,37.61512000000001,20500000,2551.0,359.0
panel,8,12.0,45.0,6.3,55.734329,37.675109,10500000,4234.0,118.0
panel,4,17.0,45.0,8.0,55.740517,37.586338,14650000,2251.0,235.0
brick,2,7.0,46.2,9.4,55.77629399999999,37.672163,15300000,4450.0,53.0
monolithBrick,7,15.0,46.0,10.0,55.77120600000001,37.658212,16600000,3411.0,52.0
brick,4,6.0,45.0,8.0,55.755991,37.652688,18000000,2367.0,80.0
brick,1,12.0,46.0,9.0,55.764977,37.594387,18890000,1949.0,317.0
brick,1,12.0,46.0,9.0,55.76499200000001,37.593722,18890000,1979.0,316.0
monolith,5,17.0,46.5,5.0,55.7621,37.550064,18900000,4260.0,285.0
monolith,3,12.0,45.0,14.0,55.761249,37.547153,19250000,4414.0,283.0
brick,5,5.0,46.0,7.0,55.725478,37.563125,16000000,4440.0,228.0
brick,4,9.0,48.3,7.3,55.76269300000001,37.565937,12200000,3330.0,291.0
block,9,12.0,48.3,8.8,55.73181500000001,37.630122,13490000,2446.0,158.0
brick,4,7.0,49.5,10.0,55.77629399999999,37.672163,13400000,4450.0,53.0
brick,5,8.0,48.0,8.0,55.72229399999999,37.621534,14550000,3350.0,174.0
panel,7,14.0,49.8,7.0,55.757561,37.588844,23900000,1783.0,290.0
brick,1,5.0,49.2,6.3,55.76092,37.541198,9900000,4771.0,282.0
brick,5,8.0,50.0,8.0,55.768841,37.586922,16000000,2583.0,316.0
brick,11,14.0,49.2,14.0,55.72214200000001,37.618569,28500000,3352.0,177.0
brick,3,13.0,48.0,9.0,55.744191,37.594863,30750000,1578.0,236.0
brick,4,10.0,50.0,9.0,55.740005,37.594638,34650000,1891.0,224.0
brick,1,5.0,50.9,8.8,55.786759,37.599049,9800000,3985.0,345.0
panel,4,16.0,52.0,9.0,55.787153,37.622819,13300000,3918.0,7.0
monolith,3,19.0,50.0,10.0,55.771545,37.568956,17690000,3635.0,306.0
brick,5,9.0,52.0,8.0,55.742509,37.578442,18500000,2571.0,245.0
brick,9,14.0,52.9,9.0,55.77843100000001,37.611087,21300000,2934.0,354.0
panel,2,9.0,52.0,6.0,55.733939,37.676169,10500000,4313.0,118.0
block,15,16.0,50.5,10.9,55.790651,37.640093,11400000,4549.0,20.0
brick,3,14.0,52.0,8.7,55.734141,37.683221,12000000,4699.0,115.0
brick,2,5.0,51.0,8.0,55.777889,37.664833,12300000,4211.0,47.0
block,5,12.0,50.9,9.8,55.744059,37.673735,12499000,3762.0,104.0
panel,3,12.0,51.5,9.8,55.726507,37.633787,12890000,3080.0,158.0
brick,1,4.0,50.0,6.6,55.767073,37.568632,13200000,3382.0,299.0
brick,3,5.0,51.6,9.8,55.72306999999999,37.631613,13490000,3396.0,163.0
block,8,16.0,50.0,11.0,55.790651,37.640093,13700000,4549.0,20.0
brick,4,5.0,50.6,6.3,55.774467,37.581613,14990000,3271.0,319.0
brick,5,16.0,51.0,10.0,55.76463199999999,37.582592,15700000,2492.0,304.0
brick,1,3.0,50.7,7.2,55.77717,37.608868,16800000,2812.0,351.0
monolith,5,8.0,51.0,8.0,55.774958,37.672971,17340000,4403.0,55.0
block,20,24.0,51.3,7.3,55.753022,37.58888,18500000,1680.0,273.0
brick,7,8.0,51.7,12.0,55.771829,37.58638300000001,18700000,2853.0,320.0
brick,9,14.0,51.0,8.5,55.73846500000001,37.629888,21650000,1773.0,150.0
stalin,5,5.0,50.0,4.5,55.762176,37.593695,21900000,1768.0,309.0
block,9,12.0,51.6,9.5,55.789826,37.638539,11600000,4430.0,19.0
monolith,2,16.0,51.6,8.5,55.740735,37.648088,13200000,2407.0,122.0
block,13,14.0,52.0,9.5,55.769874,37.675595,13700000,4249.0,62.0
monolith,8,16.0,50.4,10.0,55.77430500000001,37.642132,13850000,2972.0,34.0
brick,4,9.0,50.0,11.0,55.770573,37.562955,13900000,3887.0,302.0
brick,3,7.0,50.0,8.0,55.775965,37.672495,13950000,4445.0,53.0
panel,1,12.0,52.0,9.0,55.787346,37.590012,14500000,4230.0,338.0
brick,2,9.0,52.1,8.0,55.746015,37.57806400000001,15200000,2456.0,254.0
monolithBrick,6,9.0,52.3,7.0,55.775545,37.672118,15610000,4398.0,54.0
monolith,12,18.0,53.0,14.0,55.77120600000001,37.658212,14700000,3411.0,52.0
panel,20,24.0,54.0,7.0,55.753154,37.594036,18990000,1358.0,274.0
brick,5,8.0,54.0,9.0,55.744875,37.679044,13000000,4067.0,102.0
brick,6,6.0,53.0,8.0,55.786738,37.633176,15000000,4000.0,16.0
stalin,4,9.0,54.9,7.9,55.737137,37.651322,18500000,2801.0,127.0
brick,5,5.0,54.0,6.2,55.735155000000006,37.589195,14000000,2520.0,221.0
block,5,10.0,54.0,10.0,55.787811,37.640668,14500000,4266.0,22.0
brick,7,8.0,54.9,5.3,55.772639,37.585754,15500000,2948.0,321.0
panel,12,16.0,54.0,7.0,55.746056,37.593542,16500000,1545.0,244.0
monolithBrick,4,14.0,54.6,10.0,55.721447,37.626241,17799000,3489.0,169.0
brick,1,6.0,53.3,9.0,55.765478,37.595833,18990000,1930.0,320.0
monolith,3,7.0,54.2,14.0,55.775545,37.672118,19182806,4398.0,54.0
brick,4,4.0,53.6,10.0,55.754294,37.587533,21999000,1778.0,278.0
monolith,10,21.0,53.0,10.0,55.761771,37.549184,23900000,4304.0,284.0
brick,6,8.0,54.6,7.0,55.738916,37.58464,26800000,2443.0,233.0
brick,2,14.0,53.0,8.0,55.733183,37.683922,11350000,4785.0,116.0
panel,7,12.0,53.0,9.0,55.74061800000001,37.66645,13990000,3444.0,112.0
brick,4,5.0,53.0,5.0,55.774629,37.627696,13950000,2610.0,17.0
stalin,5,5.0,54.5,6.5,55.774467,37.581613,15500000,3271.0,319.0
brick,11,12.0,53.8,10.0,55.76786800000001,37.555849,17000000,4137.0,295.0
brick,8,14.0,56.0,9.0,55.779347,37.611437,20100000,3034.0,355.0
monolith,11,21.0,56.4,20.0,55.761629000000006,37.548151,31000000,4363.0,284.0
stalin,2,9.0,57.5,9.0,55.776877,37.659371,15300000,3886.0,45.0
brick,2,4.0,57.4,10.7,55.74865500000001,37.656478,15250000,2597.0,99.0
brick,5,14.0,55.0,8.0,55.76463199999999,37.582592,16300000,2492.0,304.0
monolith,4,21.0,57.0,26.8,55.755464,37.547342,23000000,4301.0,275.0
monolith,11,21.0,55.57,18.8,55.761771,37.549184,25950000,4304.0,284.0
brick,2,12.0,57.5,8.0,55.73265600000001,37.587919,33000000,2785.0,219.0
brick,3,5.0,56.2,7.0,55.72503199999999,37.57563,18300000,3931.0,220.0
brick,7,14.0,56.0,8.4,55.757561,37.588844,26300000,1783.0,290.0
brick,6,9.0,55.0,5.0,55.773768,37.68791,14300000,5135.0,62.0
panel,7,17.0,57.9,12.9,55.741825,37.681074,14500000,4271.0,106.0
block,5,12.0,55.0,10.0,55.787811,37.640668,14500000,4266.0,22.0
monolith,4,11.0,55.0,10.0,55.78480500000001,37.656667,14990000,4452.0,35.0
stalin,2,9.0,57.4,8.0,55.776877,37.659371,15300000,3886.0,45.0
stalin,6,7.0,57.8,9.0,55.765083,37.655526,17300000,2888.0,60.0
stalin,2,5.0,56.0,7.0,55.773024,37.595582,17600000,2637.0,332.0
brick,5,6.0,56.0,8.0,55.78794300000001,37.592105,17900000,4244.0,340.0
monolithBrick,15,16.0,56.0,14.0,55.77430500000001,37.642132,18500000,2972.0,34.0
