wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price,distance,azimuth
panel,12,17.0,53.0,10.8,55.857574,37.502777,14000000,13700.0,329.0
stalin,6,8.0,54.0,8.5,55.80901899999999,37.570707,15999999,6925.0,336.0
stalin,6,8.0,54.0,8.0,55.80901899999999,37.570707,15900000,6925.0,336.0
brick,6,8.0,54.0,8.0,55.80901899999999,37.570707,16200000,6925.0,336.0
stalin,6,8.0,54.0,8.0,55.80901899999999,37.570707,16200000,6925.0,336.0
brick,6,8.0,54.0,8.0,55.80901899999999,37.570707,16200000,6925.0,336.0
brick,6,8.0,54.0,8.0,55.80871,37.571219,16200000,6880.0,336.0
stalin,6,8.0,54.0,8.5,55.80901899999999,37.570707,16200000,6925.0,336.0
monolith,5,15.0,54.0,10.0,55.789517,37.567222,17500000,5146.0,324.0
monolith,14,15.0,53.6,7.1,55.795444,37.526896,19500000,7360.0,311.0
panel,7,14.0,54.0,9.0,55.875203000000006,37.513296,7500000,15122.0,335.0
panel,6,12.0,53.0,9.0,55.88857900000001,37.561437,7650000,15559.0,347.0
panel,4,14.0,54.0,9.0,55.87476899999999,37.514419,8150000,15049.0,335.0
panel,13,16.0,53.7,9.3,55.89287,37.561526,8400000,16025.0,348.0
brick,4,16.0,54.0,10.0,55.86204,37.51441,8500000,13777.0,333.0
brick,5,5.0,54.0,8.0,55.84358100000001,37.564024,9150000,10676.0,342.0
brick,9,16.0,53.4,12.0,55.86204,37.51441,9300000,13777.0,333.0
monolith,4,5.0,54.0,12.0,55.858271,37.47262,10000000,14827.0,323.0
panel,2,16.0,54.0,9.1,55.843646,37.554304,10200000,10883.0,339.0
brick,2,7.0,53.4,8.9,55.81642900000001,37.524049,10350000,9172.0,321.0
monolithBrick,2,14.0,53.0,10.0,55.861333,37.503864,10500000,14026.0,330.0
panel,10,14.0,54.0,10.0,55.848933,37.481109,10500000,13680.0,322.0
monolith,11,17.0,53.5,9.2,55.868501,37.48817,10950000,15215.0,328.0
monolith,13,17.0,54.0,14.0,55.871056,37.531379,10900000,14248.0,338.0
brick,6,10.0,53.0,9.0,55.861327,37.500198,10900000,14142.0,329.0
panel,6,17.0,54.0,9.8,55.868435,37.485843,11000000,15286.0,328.0
panel,12,17.0,54.0,9.0,55.876496,37.485969,11500000,16049.0,330.0
monolith,2,17.0,53.0,15.0,55.87060200000001,37.461301,12630000,16351.0,324.0
brick,14,14.0,54.0,10.5,55.809181,37.535493,12800000,8094.0,322.0
panel,9,16.0,53.0,12.5,55.80911999999999,37.537523,13500000,8010.0,322.0
panel,3,8.0,53.0,9.0,55.77838000000001,37.51644,13600000,6873.0,295.0
monolith,23,28.0,53.0,14.0,55.81779,37.574561,14630000,7743.0,341.0
brick,7,9.0,53.0,10.5,55.794092000000006,37.574103,14899900,5342.0,331.0
block,6,8.0,54.0,8.0,55.80901899999999,37.570707,16200000,6925.0,336.0
monolith,12,13.0,53.0,11.0,55.779757,37.53523300000001,16400000,5904.0,301.0
brick,7,9.0,53.0,10.5,55.794092000000006,37.574103,14900000,5342.0,331.0
monolith,13,21.0,56.91,10.0,55.879495,37.539877,9990000,14947.0,342.0
brick,3,4.0,56.6,5.8,55.894167,37.530759,8000000,16677.0,341.0
panel,14,17.0,56.8,9.4,55.878566000000006,37.50681,8400000,15635.0,334.0
brick,2,8.0,57.0,8.0,55.80919599999999,37.574067,11400000,6860.0,338.0
brick,9,9.0,56.0,5.0,55.857897,37.476016,9500000,14666.0,323.0
panel,9,9.0,56.0,6.0,55.857897,37.476016,9500000,14666.0,323.0
brick,9,9.0,56.0,6.0,55.857897,37.476016,9499999,14666.0,323.0
monolithBrick,16,24.0,56.0,10.0,55.874799,37.548995,10500000,14274.0,343.0
monolithBrick,7,21.0,55.0,8.1,55.871107,37.480436,10450000,15719.0,327.0
monolith,9,14.0,57.0,10.5,55.871673,37.556613,11600000,13806.0,345.0
stalin,6,8.0,57.0,9.0,55.817724,37.523465,11900000,9308.0,322.0
brick,12,37.0,55.0,10.7,55.774745,37.548609,14500000,4897.0,301.0
brick,3,5.0,56.1,5.0,55.798616,37.52907,15500000,7496.0,314.0
monolith,11,26.0,56.0,18.0,55.79117700000001,37.520411,18500000,7384.0,306.0
brick,9,9.0,56.1,5.1,55.857897,37.476016,9500000,14666.0,323.0
panel,6,14.0,55.0,9.0,55.883267,37.53623,9800000,15418.0,341.0
brick,2,8.0,57.0,9.0,55.804182,37.535448,12499000,7668.0,319.0
panel,15,17.0,57.0,10.0,55.878566000000006,37.50681,8200000,15635.0,334.0
panel,5,17.0,57.0,10.0,55.877849,37.505876,8450000,15589.0,334.0
panel,6,17.0,56.4,8.3,55.880212,37.509047,8500000,15740.0,335.0
monolithBrick,16,17.0,56.8,8.0,55.86935,37.473862,9200000,15783.0,326.0
brick,1,5.0,55.9,8.0,55.817785,37.512074,9700000,9773.0,318.0
monolith,12,14.0,55.1,9.0,55.885524,37.524615,9900000,15902.0,339.0
brick,2,5.0,56.5,9.0,55.835786,37.523609,9900000,10950.0,328.0
brick,1,5.0,56.4,5.7,55.816111,37.494566,10000000,10407.0,313.0
panel,6,17.0,56.5,10.0,55.877849,37.505876,9950000,15589.0,334.0
monolith,13,14.0,56.0,10.0,55.849544,37.487362,10800000,13496.0,324.0
monolithBrick,21,22.0,55.2,9.1,55.866733,37.561122,11000000,13201.0,345.0
brick,5,9.0,55.5,6.0,55.81590799999999,37.497989,11500000,10235.0,314.0
monolithBrick,19,22.0,55.9,11.4,55.866733,37.561122,12200000,13201.0,345.0
brick,6,7.0,57.0,9.0,55.782309,37.584847,13400000,3868.0,330.0
stalin,5,10.0,56.3,12.0,55.780178,37.515335,14500000,7022.0,296.0
panel,12,14.0,55.0,12.0,55.782922,37.578271,16000000,4146.0,326.0
brick,6,6.0,56.9,9.6,55.793328,37.516224,17600000,7737.0,306.0
brick,5,5.0,55.0,8.5,55.84358100000001,37.564024,9150000,10676.0,342.0
monolith,19,24.0,55.2,10.6,55.874163,37.552436,10900000,14145.0,344.0
monolith,13,24.0,55.0,18.0,55.786313,37.542428,16399000,5960.0,310.0
panel,17,19.0,55.0,8.0,55.944621,37.349291,7500000,27152.0,322.0
monolith,5,29.0,55.7,14.0,55.854436,37.496129,7650000,13627.0,327.0
monolith,1,25.0,55.0,8.0,55.943971,37.347117,7990000,27179.0,322.0
panel,13,17.0,56.6,9.5,55.877849,37.505876,8100000,15589.0,334.0
panel,14,17.0,56.6,9.0,55.878566000000006,37.50681,8200000,15635.0,334.0
panel,11,17.0,57.0,9.4,55.878566000000006,37.50681,8200000,15635.0,334.0
brick,1,5.0,57.0,8.0,55.828465,37.526133,8300000,10178.0,327.0
panel,1,9.0,56.5,6.0,55.864066,37.488754,8500000,14778.0,328.0
monolith,17,20.0,56.0,11.0,55.881545,37.524884,8500000,15483.0,339.0
panel,2,17.0,56.0,8.5,55.878248,37.509478,8650000,15531.0,335.0
brick,3,4.0,57.0,8.0,55.894167,37.530759,8700000,16677.0,341.0
panel,8,17.0,57.0,10.0,55.87805600000001,37.507906,8700000,15554.0,334.0
brick,2,9.0,56.0,6.0,55.816799,37.530849,9000000,8944.0,324.0
brick,5,5.0,57.0,6.0,55.83814200000001,37.574813,9000000,9905.0,345.0
brick,2,9.0,55.0,6.0,55.83661,37.484774,9250000,12476.0,319.0
brick,4,5.0,57.0,6.0,55.775251,37.535853,9500000,5625.0,297.0
brick,7,8.0,57.0,8.0,55.842221,37.570573,9850000,10413.0,344.0
stalin,2,5.0,56.5,8.0,55.835786,37.523609,9900000,10950.0,328.0
monolith,2,22.0,55.8,9.4,55.86375200000001,37.537308,9990000,13355.0,339.0
brick,8,9.0,57.0,5.0,55.864798,37.466278,10000000,15647.0,323.0
brick,2,9.0,55.2,5.6,55.816642,37.498617,10190000,10264.0,314.0
panel,9,18.0,56.0,9.0,55.843555,37.553073,10300000,10901.0,339.0
brick,1,5.0,55.7,8.0,55.79551899999999,37.522037,10500000,7599.0,310.0
panel,4,15.0,56.0,9.0,55.87805600000001,37.507906,10500000,15554.0,334.0
brick,3,5.0,56.1,6.0,55.799851,37.560179,10800000,6344.0,327.0
brick,6,9.0,56.0,7.0,55.868081,37.46565800000001,11000000,15964.0,324.0
brick,1,8.0,55.7,8.3,55.800752,37.566108,11300000,6234.0,330.0
monolithBrick,7,24.0,56.0,12.0,55.868339,37.557861,11300000,13428.0,344.0
monolith,4,8.0,55.1,10.0,55.861176,37.549426,11386364,12823.0,341.0
brick,5,5.0,56.0,6.0,55.795444,37.576187,11300000,5413.0,333.0
brick,8,8.0,57.0,9.0,55.809565,37.493991,11500000,9951.0,310.0
panel,8,12.0,56.0,11.0,55.802325,37.568632,11900000,6311.0,332.0
brick,3,6.0,56.0,8.0,55.81211,37.568138,11900000,7305.0,336.0
brick,2,5.0,57.0,7.2,55.77385400000001,37.536922,12000000,5496.0,296.0
panel,8,22.0,55.0,10.0,55.87032900000001,37.496021,12500000,15139.0,330.0
brick,5,5.0,55.0,7.0,55.803196,37.563727,12900000,6545.0,330.0
monolith,16,30.0,56.0,15.0,55.818397,37.573537,13000000,7828.0,340.0
monolith,5,30.0,56.0,12.0,55.818397,37.573537,13300000,7828.0,340.0
brick,8,10.0,55.0,9.0,55.808872,37.497746,13500000,9721.0,311.0
brick,8,10.0,56.0,11.0,55.779864,37.513368,14000000,7118.0,296.0
panel,12,13.0,57.0,9.0,55.78361500000001,37.56430200000001,14000000,4754.0,317.0
monolithBrick,9,24.0,55.0,18.0,55.786313,37.542428,14635000,5960.0,310.0
monolithBrick,11,24.0,55.0,18.0,55.786313,37.542428,14620000,5960.0,310.0
monolithBrick,12,24.0,55.0,18.0,55.786313,37.542428,14660000,5960.0,310.0
brick,2,7.0,56.9,8.0,55.80066600000001,37.504106,15000000,8836.0,308.0
monolithBrick,16,24.0,56.0,18.0,55.786313,37.542428,14990000,5960.0,310.0
stalin,1,9.0,55.5,8.3,55.818503,37.504079,15000000,10171.0,317.0
brick,9,10.0,56.0,10.0,55.779864,37.513368,16350000,7118.0,296.0
monolithBrick,19,35.0,56.0,10.0,55.77472,37.551852,18000000,4722.0,302.0
monolith,23,44.0,55.0,8.0,55.774254000000006,37.546525,22500000,4983.0,300.0
monolithBrick,23,38.0,55.0,10.0,55.774254000000006,37.546525,22500000,4983.0,300.0
monolith,2,22.0,55.0,15.0,55.779874,37.573995,24000000,4039.0,320.0
panel,17,19.0,55.0,8.5,55.944621,37.349291,7450000,27152.0,322.0
panel,14,20.0,56.0,10.0,55.944621,37.349291,7600000,27152.0,322.0
block,9,9.0,57.0,6.0,55.890467,37.53772100000001,7800000,16150.0,342.0
panel,2,3.0,57.0,18.0,55.814725,37.490569,8100000,10488.0,312.0
panel,14,17.0,56.5,9.4,55.878566000000006,37.50681,8180000,15635.0,334.0
panel,6,17.0,56.8,9.4,55.878566000000006,37.50681,8500000,15635.0,334.0
brick,2,8.0,55.6,7.1,55.872592,37.462433,8900000,16489.0,324.0
panel,2,16.0,56.0,9.1,55.871072,37.461292,9300000,16394.0,324.0
monolith,2,14.0,55.0,10.3,55.871673,37.556613,9390000,13806.0,345.0
panel,17,17.0,55.6,10.0,55.87937900000001,37.56551500000001,9500000,14504.0,348.0
brick,8,9.0,55.0,6.0,55.855563,37.47527,9900000,14487.0,323.0
monolithBrick,13,24.0,55.0,10.5,55.877329,37.548204,10000000,14558.0,343.0
brick,5,5.0,55.0,6.0,55.7993,37.55354000000001,9990000,6532.0,323.0
monolith,7,18.0,55.0,9.1,55.86989000000001,37.529519,10000000,14171.0,338.0
panel,3,18.0,56.0,9.6,55.845213,37.556235,9990000,11005.0,340.0
monolith,6,20.0,56.0,10.0,55.883737,37.52633,10100000,15678.0,339.0
brick,9,9.0,56.3,5.7,55.79989200000001,37.575316,10300000,5881.0,335.0
monolith,10,19.0,56.4,8.1,55.871107,37.480436,10250000,15719.0,327.0
brick,7,9.0,56.7,6.0,55.811639,37.535592,10500000,8306.0,323.0
panel,21,22.0,57.0,10.0,55.86406,37.51202,10500000,14046.0,333.0
panel,2,9.0,57.0,6.0,55.860069,37.500567,10600000,14010.0,329.0
panel,5,5.0,55.0,6.0,55.803772,37.53641,10700000,7594.0,319.0
brick,2,14.0,55.0,8.0,55.849974,37.487362,10700000,13534.0,324.0
panel,12,16.0,56.4,10.0,55.89009300000001,37.523438,11000000,16404.0,339.0
brick,6,8.0,56.0,7.0,55.80233000000001,37.574238,11400000,6155.0,335.0
brick,4,5.0,56.0,8.5,55.77310500000001,37.543524,11550000,5088.0,297.0
brick,4,5.0,56.7,4.9,55.797311,37.50893,11600000,8369.0,307.0
panel,2,14.0,56.0,9.0,55.82285699999999,37.521516,11700000,9835.0,323.0
panel,22,22.0,57.0,10.0,55.86406,37.51202,11700000,14046.0,333.0
brick,2,5.0,56.0,8.0,55.801931,37.56508400000001,11990000,6380.0,330.0
panel,2,5.0,55.0,6.0,55.80439000000001,37.543641,12200000,7359.0,322.0
panel,9,22.0,57.0,10.0,55.855057,37.564176,12300000,11897.0,344.0
monolith,20,37.0,56.0,10.0,55.860514,37.46767,12250000,15214.0,323.0
block,4,5.0,56.0,16.0,55.801602,37.562622,12500000,6427.0,329.0
panel,5,8.0,56.6,8.4,55.77778299999999,37.51626,12500000,6855.0,295.0
stalin,10,10.0,56.0,10.0,55.780178,37.515335,13000000,7022.0,296.0
panel,1,9.0,58.5,6.0,55.82489,37.527166,8300000,9812.0,326.0
monolith,1,5.0,58.0,6.0,55.801946,37.548591,10600000,6954.0,323.0
brick,4,9.0,58.0,6.0,55.850343,37.505705,9000000,12919.0,328.0
panel,9,9.0,58.9,7.0,55.865733,37.488242,9800000,14952.0,328.0
panel,17,17.0,58.8,9.0,55.858347,37.500702,9800000,13841.0,329.0
stalin,7,9.0,58.4,8.5,55.806059,37.513296,11800000,8784.0,313.0
panel,9,16.0,58.1,10.0,55.7747,37.542312,12100000,5238.0,299.0
panel,4,9.0,58.0,10.0,55.846573,37.554403,8490000,11186.0,340.0
panel,3,9.0,58.4,6.8,55.871602,37.560664,7700000,13733.0,346.0
panel,13,17.0,58.0,10.0,55.877849,37.505876,8200000,15589.0,334.0
panel,7,17.0,58.0,10.0,55.877849,37.505876,8350000,15589.0,334.0
panel,7,12.0,58.4,12.0,55.884999,37.535862,9500000,15608.0,341.0
panel,7,16.0,58.0,10.4,55.883292,37.486535,9600000,16688.0,331.0
panel,2,22.0,58.0,10.0,55.855057,37.564176,9600000,11897.0,344.0
brick,11,16.0,58.0,10.1,55.86204,37.51441,9730000,13777.0,333.0
panel,3,5.0,59.0,6.0,55.860691,37.510808,9800000,13751.0,332.0
panel,1,9.0,58.4,6.5,55.827287,37.570734,10000000,8821.0,341.0
panel,7,9.0,58.0,7.0,55.792873,37.576735,10500000,5144.0,332.0
panel,7,9.0,59.0,6.0,55.805351,37.57139,10800000,6536.0,335.0
panel,5,17.0,58.0,10.5,55.873314,37.487317,11490000,15701.0,329.0
panel,3,5.0,58.5,6.0,55.883464,37.521848,11600000,15752.0,338.0
monolith,16,18.0,58.0,11.0,55.86218100000001,37.560457,11800000,12724.0,344.0
stalin,2,5.0,58.8,9.0,55.839148,37.540165,11800000,10775.0,334.0
panel,7,17.0,58.0,10.1,55.882404,37.560925,12000000,14896.0,347.0
panel,1,17.0,58.0,10.0,55.780876,37.533544,12500000,6060.0,302.0
panel,1,5.0,58.0,6.0,55.859686,37.510978,12500000,13647.0,331.0
panel,10,14.0,58.0,10.0,55.85448100000001,37.499426,13300000,13519.0,327.0
brick,3,4.0,58.0,8.0,55.799618,37.549166,13500000,6727.0,322.0
stalin,1,5.0,58.1,9.6,55.823737,37.510682,15000000,10332.0,321.0
brick,9,9.0,59.0,12.5,55.784951,37.576744,15600000,4387.0,326.0
stalin,9,9.0,59.0,12.0,55.784951,37.576744,15800000,4387.0,326.0
monolith,12,26.0,58.2,18.0,55.79117700000001,37.520411,18000000,7384.0,306.0
brick,3,6.0,58.0,10.0,55.823156,37.500881,18500000,10687.0,318.0
monolith,4,8.0,59.0,11.0,55.781509,37.57046500000001,26430000,4321.0,319.0
panel,1,9.0,58.2,6.0,55.85549200000001,37.499686,8850000,13605.0,328.0
brick,1,5.0,58.0,8.5,55.84495,37.481523,8900000,13317.0,321.0
monolith,13,22.0,58.0,8.5,55.86375200000001,37.537308,9700000,13355.0,339.0
panel,9,16.0,58.0,10.2,55.894243,37.526124,9650000,16780.0,341.0
brick,5,5.0,58.0,9.0,55.812089,37.557026,9900000,7614.0,331.0
stalin,2,5.0,59.0,10.0,55.82845,37.529699,9999000,10055.0,328.0
brick,8,8.0,59.0,9.0,55.845294,37.567797,10149999,10790.0,344.0
panel,5,9.0,58.0,6.1,55.86676800000001,37.496623,10050000,14777.0,330.0
monolithBrick,5,18.0,59.0,9.3,55.86989000000001,37.529519,10200000,14171.0,338.0
monolith,3,22.0,58.0,10.0,55.86306999999999,37.537694,10500000,13275.0,338.0
panel,3,5.0,58.6,5.8,55.854785,37.504061,10500000,13393.0,329.0
panel,3,17.0,59.0,12.8,55.883217,37.527597,10600000,15596.0,339.0
panel,21,22.0,58.0,10.0,55.862242,37.490874,11250000,14535.0,328.0
brick,7,9.0,58.2,8.5,55.806059,37.513296,11800000,8784.0,313.0
monolith,12,24.0,58.5,5.6,55.880688,37.541351,12452500,15044.0,342.0
brick,5,5.0,59.0,5.8,55.82686700000001,37.494288,12500000,11270.0,318.0
brick,8,12.0,58.0,8.0,55.78846899999999,37.557565,12550000,5438.0,318.0
brick,9,9.0,59.0,9.0,55.805189,37.516727,13700000,8561.0,314.0
stalin,4,9.0,59.0,10.0,55.82510300000001,37.57118300000001,13900000,8582.0,341.0
panel,8,17.0,58.1,9.0,55.77831,37.526618,14950000,6297.0,298.0
brick,8,8.0,58.3,9.0,55.784951,37.576744,15500000,4387.0,326.0
monolith,16,26.0,58.0,15.0,55.79117700000001,37.520411,20800000,7384.0,306.0
block,10,12.0,58.0,6.0,55.885958,37.525576,9170000,15926.0,339.0
panel,5,9.0,58.5,6.0,55.881374,37.522863,9300000,15513.0,338.0
monolith,9,13.0,60.0,6.0,55.789391,37.536823,19950000,6449.0,310.0
monolith,13,24.0,61.3,15.1,55.880576,37.542096,11590000,15018.0,342.0
monolith,11,22.0,61.0,3.0,55.88063100000001,37.539347,11438842,15077.0,342.0
monolith,7,13.0,62.0,15.0,55.785169,37.564033,14200000,4894.0,319.0
panel,2,17.0,60.1,13.0,55.86695,37.553172,11900000,13362.0,343.0
block,7,25.0,60.0,10.8,55.865823,37.474408,14150000,15440.0,325.0
monolithBrick,6,19.0,60.9,15.4,55.78497700000001,37.56194,14300000,4966.0,317.0
monolith,19,22.0,62.0,16.0,55.880945,37.54118,11390000,15074.0,342.0
monolithBrick,7,21.0,61.5,15.0,55.78497700000001,37.56194,14626000,4966.0,317.0
monolith,15,25.0,60.1,11.0,55.865823,37.474408,13900000,15440.0,325.0
brick,1,8.0,62.0,8.5,55.81281800000001,37.572225,12500000,7277.0,338.0
monolith,18,18.0,60.0,8.6,55.862525,37.537452,11000000,13225.0,338.0
monolith,3,24.0,62.0,12.0,55.856396,37.478172,11900000,14452.0,324.0
panel,9,9.0,60.0,6.0,55.867576,37.56551500000001,8550000,13224.0,346.0
panel,12,15.0,61.0,10.5,55.85899300000001,37.559011,12999990,12408.0,343.0
panel,4,25.0,60.0,11.0,55.94533199999999,37.34514,7500000,27375.0,322.0
panel,2,9.0,60.3,6.0,55.868986,37.567213,8500000,13352.0,347.0
panel,6,9.0,60.0,6.0,55.862676,37.512955,9200000,13882.0,332.0
panel,3,22.0,60.0,10.0,55.871284,37.497548,10500000,15185.0,331.0
panel,7,9.0,60.0,6.0,55.805351,37.57139,10450000,6536.0,335.0
monolith,3,20.0,62.0,16.0,55.880576,37.542096,10899000,15018.0,342.0
panel,4,24.0,61.3,10.0,55.862004000000006,37.470662,11789000,15233.0,323.0
panel,14,17.0,60.0,13.0,55.87250600000001,37.557403,12300000,13883.0,345.0
panel,5,17.0,62.0,13.0,55.863707,37.565003,12500000,12814.0,346.0
brick,2,6.0,60.0,8.8,55.79449200000001,37.514122,14500000,7920.0,307.0
brick,1,5.0,60.7,6.8,55.776203,37.57616,12290000,3643.0,317.0
panel,1,9.0,60.0,6.0,55.891628,37.532816,7799000,16368.0,342.0
monolith,12,14.0,61.3,10.8,55.87816700000001,37.538242,10900000,14840.0,341.0
panel,20,22.0,60.0,10.0,55.855057,37.564176,11600000,11897.0,344.0
panel,14,25.0,60.0,10.0,55.94751,37.348743,7400000,27427.0,323.0
monolith,4,28.0,60.8,15.0,55.853658,37.498375,8200000,13477.0,327.0
panel,7,9.0,60.0,6.0,55.865015,37.567545,8400000,12917.0,347.0
panel,13,17.0,60.0,9.0,55.878566000000006,37.50681,8400000,15635.0,334.0
brick,6,8.0,60.0,10.0,55.861176,37.549426,8500000,12823.0,341.0
panel,5,9.0,60.0,6.5,55.885322,37.527687,8700000,15813.0,340.0
panel,6,9.0,60.0,7.0,55.892006,37.534299,9200000,16379.0,342.0
monolithBrick,20,24.0,62.0,10.0,55.87615699999999,37.505292,10000000,15437.0,333.0
panel,5,14.0,60.2,12.9,55.872501,37.513547,10500000,14844.0,335.0
panel,3,22.0,60.0,10.3,55.871284,37.497548,10500000,15185.0,331.0
monolith,20,25.0,62.0,11.0,55.87104100000001,37.475243,10950000,15891.0,326.0
panel,5,17.0,60.0,13.0,55.876238,37.548393,11199000,14439.0,343.0
monolithBrick,12,15.0,62.0,11.0,55.88796800000001,37.537101,11665000,15897.0,342.0
panel,8,12.0,60.9,11.0,55.811553,37.530346,12000000,8502.0,321.0
brick,1,5.0,61.1,9.0,55.77385400000001,37.536922,12499000,5496.0,296.0
monolith,12,18.0,60.5,10.4,55.85899300000001,37.559011,12999990,12408.0,343.0
panel,16,18.0,62.0,15.0,55.858529,37.559847,12940000,12344.0,344.0
brick,2,7.0,61.1,10.0,55.786455,37.560475,12990000,5149.0,318.0
panel,10,17.0,60.0,10.0,55.854325,37.499022,12990000,13518.0,327.0
stalin,1,5.0,61.1,6.8,55.77385400000001,37.536922,13000000,5496.0,296.0
panel,7,9.0,60.7,8.6,55.834239,37.570321,13000000,9565.0,343.0
brick,6,8.0,60.0,10.0,55.782896,37.565201,13500000,4657.0,317.0
panel,16,17.0,62.0,10.0,55.775322,37.534245,14200000,5719.0,297.0
brick,2,6.0,60.0,9.0,55.79449200000001,37.514122,14499000,7920.0,307.0
brick,4,6.0,62.0,10.0,55.78195,37.512487,14500000,7270.0,297.0
monolith,7,13.0,62.0,15.0,55.785169,37.564033,14500000,4894.0,319.0
stalin,4,9.0,61.1,12.0,55.815822,37.505921,14900000,9876.0,316.0
brick,4,9.0,61.1,12.0,55.815822,37.505921,14800000,9876.0,316.0
stalin,4,9.0,61.0,12.0,55.815822,37.505921,14900000,9876.0,316.0
stalin,4,9.0,61.1,11.8,55.815822,37.505921,14900000,9876.0,316.0
brick,4,9.0,61.0,11.8,55.815822,37.505921,14900000,9876.0,316.0
brick,8,9.0,61.0,8.0,55.80529,37.508274,14999998,8961.0,311.0
panel,16,17.0,62.0,10.0,55.775322,37.534245,15000000,5719.0,297.0
panel,7,17.0,60.0,13.0,55.830275,37.501618,15500000,11255.0,321.0
brick,8,9.0,61.0,9.6,55.776856,37.574911,16500000,3750.0,317.0
monolith,7,13.0,61.0,10.0,55.784303,37.562775,16800000,4875.0,317.0
brick,12,12.0,62.0,9.0,55.799345,37.523968,16900000,7786.0,312.0
brick,12,12.0,62.0,30.0,55.79783199999999,37.543084,17500000,6821.0,318.0
brick,12,12.0,62.0,12.0,55.79783199999999,37.543084,17500000,6821.0,318.0
brick,12,12.0,62.0,12.0,55.79783199999999,37.543084,17500000,6821.0,318.0
monolith,4,16.0,61.0,12.0,55.799937,37.505903,19500000,8697.0,308.0
monolith,7,26.0,60.0,15.0,55.79117700000001,37.520411,21000000,7384.0,306.0
monolith,12,23.0,60.0,15.0,55.782572,37.531936,22000000,6246.0,303.0
monolith,15,15.0,61.7,14.0,55.795444,37.526896,22480000,7360.0,311.0
block,5,8.0,61.0,9.0,55.835124,37.485933,8000000,12304.0,319.0
panel,3,12.0,62.0,7.0,55.86013000000001,37.524722,8300000,13299.0,335.0
block,1,8.0,60.0,6.0,55.835124,37.485933,8400000,12304.0,319.0
panel,3,9.0,60.2,7.0,55.873445,37.56423,8500000,13878.0,347.0
monolith,20,25.0,60.0,10.0,55.94751,37.348743,8500000,27427.0,323.0
panel,16,17.0,60.0,10.0,55.87805600000001,37.507906,8690000,15554.0,334.0
panel,9,9.0,60.0,6.0,55.830447,37.525549,9100000,10383.0,327.0
panel,4,16.0,60.0,10.5,55.894964,37.526762,9200000,16842.0,341.0
brick,3,9.0,60.0,5.5,55.864308,37.466718,9200000,15587.0,323.0
brick,3,9.0,60.0,5.5,55.864308,37.466718,9500000,15587.0,323.0
panel,7,9.0,60.2,8.0,55.883318,37.562371,9500000,14975.0,347.0
panel,1,9.0,62.0,8.0,55.876789,37.535448,9600000,14754.0,340.0
panel,10,17.0,60.0,10.0,55.876046,37.536185,9700000,14660.0,340.0
panel,1,17.0,60.0,10.5,55.857574,37.502777,9900000,13700.0,329.0
panel,8,9.0,61.0,6.5,55.865485,37.504151,9990000,14419.0,331.0
monolith,11,21.0,62.0,10.0,55.879495,37.539877,10300000,14947.0,342.0
panel,17,17.0,62.0,8.0,55.86760699999999,37.462936,10500000,16023.0,323.0
panel,16,22.0,61.0,11.0,55.862242,37.490874,10750000,14535.0,328.0
panel,7,9.0,61.0,7.0,55.846371,37.488709,10800000,13163.0,323.0
brick,5,5.0,60.0,10.0,55.84770500000001,37.520653,11150000,12187.0,331.0
panel,20,22.0,60.0,10.0,55.855057,37.564176,11500000,11897.0,344.0
panel,15,17.0,60.2,12.6,55.874784,37.535215,12000000,14549.0,340.0
brick,2,9.0,60.0,10.0,55.806059,37.513296,12350000,8784.0,313.0
monolith,1,25.0,60.2,11.0,55.865823,37.474408,12500000,15440.0,325.0
panel,4,9.0,60.0,8.0,55.832424,37.57068,12500000,9366.0,343.0
monolith,11,11.0,60.0,12.6,55.859504,37.56132,12500000,12422.0,344.0
monolith,4,22.0,62.0,11.0,55.858736,37.482924,12700000,14488.0,325.0
panel,17,17.0,60.0,12.9,55.86671800000001,37.553918,12800000,13324.0,343.0
brick,8,10.0,62.0,8.0,55.819894,37.495276,13300000,10667.0,315.0
monolith,6,24.0,60.5,11.0,55.86996,37.493632,13500000,15178.0,330.0
monolith,6,13.0,60.0,11.7,55.863469,37.559523,13500000,12878.0,344.0
panel,12,14.0,62.0,12.0,55.858559,37.564491,13500000,12268.0,345.0
stalin,8,9.0,61.0,9.4,55.82510300000001,37.57118300000001,13900000,8582.0,341.0
monolith,6,20.0,60.76,11.0,55.883737,37.52633,14000000,15678.0,339.0
brick,8,11.0,61.5,6.0,55.783286,37.55858900000001,14200000,4978.0,314.0
brick,3,11.0,62.0,6.0,55.783286,37.55858900000001,14200000,4978.0,314.0
monolith,8,19.0,60.2,13.0,55.785169,37.564033,14250000,4894.0,319.0
panel,9,17.0,60.6,13.0,55.835412,37.534622,14300000,10566.0,331.0
brick,3,6.0,62.0,9.0,55.78179300000001,37.568138,14499000,4442.0,318.0
monolith,14,37.0,60.3,10.0,55.774745,37.548609,15500000,4897.0,301.0
brick,1,8.0,60.0,8.0,55.783554,37.571812,15500000,4443.0,322.0
brick,2,7.0,61.0,10.0,55.79261500000001,37.511733,15600000,7921.0,305.0
panel,2,12.0,61.3,8.0,55.777003,37.552687,16000000,4819.0,305.0
brick,8,8.0,60.0,9.5,55.782896,37.565201,16500000,4657.0,317.0
stalin,4,9.0,60.0,8.0,55.802401,37.518901,16900000,8250.0,313.0
